accession,n_ena_samples,n_runs,best_x_cov,total_x_cov,best_sample,platforms,studies,matched_on_field,matched_name,n_traits,total_envs,IMPROVEMENT_LEVEL,collection,PLANT_NAME,pedigree,countryOfOriginCode,panel_pri,in_eva_study,priority_score,action
PI 685979,1,1,2.2,2.2,SAMN31504554,ILLUMINA,PRJNA894503,cultivar,GEMN_0286,15.0,31.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0286,MDI022:N(PHG35)(GEMN-0097)-072-001-001-SIB,USA,3.0,False,33.5,low depth - impute or top-up
PI 685938,1,1,2.2,2.2,SAMN31504513,ILLUMINA,PRJNA894503,cultivar,GEMS_0245,15.0,15.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMS-0245,DK888:S11b-037-018-008-B,USA,3.0,False,33.5,low depth - impute or top-up
PI 692842,1,1,2.2,2.2,SAMN31504568,ILLUMINA,PRJNA894503,cultivar,GEMS_0301,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0301,NS1:S(GEMS-0149)41-066-001-001,USA,3.0,False,33.5,low depth - impute or top-up
PI 692841,1,1,2.2,2.2,SAMN31504567,ILLUMINA,PRJNA894503,cultivar,GEMS_0300,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0300,NS1:S(GEMS-0149)41-051-001-001,USA,3.0,False,33.5,low depth - impute or top-up
PI 685973,1,1,2.2,2.2,SAMN31504548,ILLUMINA,PRJNA894503,cultivar,GEMS_0280,15.0,31.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0280,BR52051:S172641-B-018-001-SIB,USA,3.0,False,33.5,low depth - impute or top-up
PI 685953,1,1,2.2,2.2,SAMN31504528,ILLUMINA,PRJNA894503,cultivar,GEMN_0260,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0260,(GEMN-0140/GEMN-0097)-B-B-026-B,USA,3.0,False,33.5,low depth - impute or top-up
PI 685951,1,1,2.2,2.2,SAMN31504526,ILLUMINA,PRJNA894503,cultivar,GEMS_0258,15.0,15.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMS-0258,DKB830:S19-009-004,USA,3.0,False,33.5,low depth - impute or top-up
PI 685950,1,1,2.2,2.2,SAMN31504525,ILLUMINA,PRJNA894503,cultivar,GEMN_0257,15.0,15.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMN-0257,CHIS462:N08d-013-001,USA,3.0,False,33.5,low depth - impute or top-up
PI 685937,1,1,2.1,2.1,SAMN31504512,ILLUMINA,PRJNA894503,cultivar,GEMS_0244,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0244,CML287:S15-027-001-B,USA,3.0,False,33.4,low depth - impute or top-up
PI 685945,1,1,2.1,2.1,SAMN31504520,ILLUMINA,PRJNA894503,cultivar,GEMN_0252,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0252,DKB844:N11b18-241-001-B-B,USA,3.0,False,33.4,low depth - impute or top-up
PI 685935,1,1,2.1,2.1,SAMN31504510,ILLUMINA,PRJNA894503,cultivar,GEMN_0242,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0242,SE32(BR52051):N11c-015-004-B,USA,3.0,False,33.4,low depth - impute or top-up
Ames 22020,1,1,5.4,5.4,SAMN09622454,ILLUMINA,PRJNA479960,sample_alias,C31,9.0,10.0,Cultivar,Maize.Group.Ames.Panel.2010,C31,,USA,3.0,False,33.4,call variants (moderate depth)
PI 685978,1,1,2.1,2.1,SAMN31504553,ILLUMINA,PRJNA894503,cultivar,GEMN_0285,15.0,31.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0285,(GEMN-0117/DKXL212:N11a-139-001-001-B-B-B-B-B-B)-B-B-019-001-SIB,USA,3.0,False,33.4,low depth - impute or top-up
PI 690592,1,1,6.1,6.1,SAMN44075611,ILLUMINA,PRJNA1170466,cultivar,CML182,15.0,29.0,Breeding material,Maize.Group.Ames.Panel.Post.2010,CML 182,(P63-12-2-1/P67-5-1-1)-1-2-B,MEX,2.0,True,33.4,call variants (moderate depth)
PI 685860,1,1,2.1,2.1,SAMN31504488,ILLUMINA,PRJNA894503,cultivar,GEMN_0137,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0137,SCR Gp3:N14-028-003-003-B,USA,3.0,False,33.4,low depth - impute or top-up
PI 685942,1,1,2.1,2.1,SAMN31504517,ILLUMINA,PRJNA894503,cultivar,GEMN_0249,15.0,29.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0249,BR105:N1643-B-020-B-B,USA,3.0,False,33.4,low depth - impute or top-up
PI 689798,1,1,2.1,2.1,SAMN31504561,ILLUMINA,PRJNA894503,cultivar,GEMS_0294,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0294,DKB844:S16-005-022-012,USA,3.0,False,33.4,low depth - impute or top-up
MGS 96309,1,1,18.2,18.2,SAMN36028833,ILLUMINA,PRJNA987991,isolate,330I,,,,,,,,1.0,False,33.3,call variants now
PI 685948,1,1,2.0,2.0,SAMN31504523,ILLUMINA,PRJNA894503,cultivar,GEMS_0255,15.0,15.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMS-0255,FS8B(S):S03-133-002,USA,3.0,False,33.2,low depth - impute or top-up
PI 685970,1,1,2.0,2.0,SAMN31504545,ILLUMINA,PRJNA894503,cultivar,GEMS_0277,15.0,31.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0277,(53SS4/GEMS-0031)-SIB-B-039-002-SIB,USA,3.0,False,33.2,low depth - impute or top-up
PI 685946,1,1,2.0,2.0,SAMN31504521,ILLUMINA,PRJNA894503,cultivar,GEMS_0253,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0253,DK212T:S0640-034-002,USA,3.0,False,33.2,low depth - impute or top-up
PI 685954,1,1,2.0,2.0,SAMN31504529,ILLUMINA,PRJNA894503,cultivar,GEMN_0261,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0261,(GEMN-0140/GEMN-0097)-B-B-027-B,USA,3.0,False,33.2,low depth - impute or top-up
PI 689592,1,1,2.0,2.0,SAMN31504555,ILLUMINA,PRJNA894503,cultivar,GEMS_0288,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0288,(GEMS-0147/GEMS-0115)-B-002-001-001-B,USA,3.0,False,33.2,low depth - impute or top-up
PI 685959,1,1,2.0,2.0,SAMN31504534,ILLUMINA,PRJNA894503,cultivar,GEMN_0266,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0266,NEI9008:N0826(GEMN-0155)-B-074-B-B,USA,3.0,False,33.2,low depth - impute or top-up
PI 685917,1,1,2.0,2.0,SAMN31504492,ILLUMINA,PRJNA894503,cultivar,GEMS_0224,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0224,BG070404:D27S42-B-014,USA,3.0,False,33.2,low depth - impute or top-up
PI 690617,1,1,2.0,2.0,SAMN17776935,ILLUMINA,PRJNA684330,cultivar,CML337,15.0,16.0,Breeding material,Maize.Group.Ames.Panel.2010,CML 337,(TL8645)/(P47/MP78-518)-B-24-1-3-2-1-2-B,MEX,3.0,False,33.2,low depth - impute or top-up
PI 692838,1,1,2.0,2.0,SAMN31504564,ILLUMINA,PRJNA894503,cultivar,GEMS_0297,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0297,(GEMS-0115/GEMS-0222)-B-B-033-001,USA,3.0,False,33.2,low depth - impute or top-up
PI 685976,1,1,1.9,1.9,SAMN31504551,ILLUMINA,PRJNA894503,cultivar,GEMS_0283,15.0,31.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0283,UR11002:S1409-068-001-001-SIB,USA,3.0,False,33.1,low depth - impute or top-up
PI 692840,1,1,1.9,1.9,SAMN31504566,ILLUMINA,PRJNA894503,cultivar,GEMS_0299,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0299,(H8431/((GEMS-0115/Mp717)/TZAR101))-SIB-B-005-001,USA,3.0,False,33.1,low depth - impute or top-up
PI 692839,1,1,1.9,1.9,SAMN31504565,ILLUMINA,PRJNA894503,cultivar,GEMS_0298,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0298,(GEMS-0219/GEMS-0227)-B-015-001,USA,3.0,False,33.1,low depth - impute or top-up
Ames 23440,1,1,0.3,0.3,SAMN14649584,ILLUMINA,PRJNA627044,sample_title,A495,18.0,21.0,Breeding material,Maize.Group.Ames.Panel.2010,A495,A163 X W283.  A163 derives from the cross (A2 X 47).  Both A2 and 47 derive from Minnesota 13.,USA,3.0,False,33.1,re-sequence
PI 685941,1,1,1.9,1.9,SAMN31504516,ILLUMINA,PRJNA894503,cultivar,GEMS_0248,15.0,29.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0248,AR16042:S2028-B-012-B-B,USA,3.0,False,33.1,low depth - impute or top-up
PI 685947,1,1,1.9,1.9,SAMN31504522,ILLUMINA,PRJNA894503,cultivar,GEMN_0254,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0254,FS8B(T):N11a-225-002,USA,3.0,False,33.1,low depth - impute or top-up
Ames 23447,1,1,0.3,0.3,SAMN14649598,ILLUMINA,PRJNA627044,sample_title,A509,18.0,21.0,Breeding material,Maize.Group.Ames.Panel.2010,A509,A78 X A109.  A78 is derived from the cross A48 X A50.  A48 and A50 are derived from Northwestern Dent.  A109 is derived from the cross A9 X A26.  A9 is derived from Minnesota #13.  A26 is derived from Osterland Yellow Dent.,USA,3.0,False,33.1,re-sequence
Ames 23441,1,1,0.2,0.2,SAMN14649586,ILLUMINA,PRJNA627044,sample_title,A497,18.0,22.0,Breeding material,Maize.Group.Ames.Panel.2010,A497,A163 X W283.  A163 derives from the cross (A2 X 47).  Both A2 and 47 derive from Minnesota 13.,USA,3.0,False,33.0,re-sequence
Ames 23415,1,1,0.2,0.2,SAMN14649384,ILLUMINA,PRJNA627044,sample_title,A295,18.0,21.0,Breeding material,Maize.Group.Ames.Panel.2010,A295,A344 X L317,USA,3.0,False,33.0,re-sequence
Ames 23436,1,1,0.2,0.2,SAMN14649538,ILLUMINA,PRJNA627044,sample_title,A449,18.0,36.0,Breeding material,Maize.Group.Ames.Panel.2010,A449,(A322 X POP) X A322(3),USA,3.0,False,33.0,re-sequence
Ames 23461,1,1,0.2,0.2,SAMN14649714,ILLUMINA,PRJNA627044,sample_title,A625,18.0,20.0,Breeding material,Maize.Group.Ames.Panel.2010,A625,,USA,3.0,False,33.0,re-sequence
Ames 23406,1,1,0.2,0.2,SAMN14649340,ILLUMINA,PRJNA627044,sample_title,A251,18.0,22.0,Breeding material,Maize.Group.Ames.Panel.2010,A251,A73 X Oh51A,USA,3.0,False,33.0,re-sequence
Ames 23465,1,1,0.2,0.2,SAMN14649718,ILLUMINA,PRJNA627044,sample_title,A629,18.0,31.0,Breeding material,Maize.Group.Ames.Panel.2010,A629,[(CV3 X Wf9) Wf9],USA,3.0,False,33.0,re-sequence
Ames 23399,1,1,0.2,0.2,SAMN14649290,ILLUMINA,PRJNA627044,sample_title,A201,18.0,20.0,Breeding material,Maize.Group.Ames.Panel.2010,A201,[(C11 X C23) C11(2)],USA,3.0,False,33.0,re-sequence
Ames 23400,1,1,0.2,0.2,SAMN14649292,ILLUMINA,PRJNA627044,sample_title,A203,18.0,22.0,Breeding material,Maize.Group.Ames.Panel.2010,A203,[(C11 X C23) C11(3)],USA,3.0,False,33.0,re-sequence
PI 685918,1,1,1.8,1.8,SAMN31504493,ILLUMINA,PRJNA894503,cultivar,GEMN_0225,15.0,16.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMN-0225,BR105:N16a16b-B-074,USA,3.0,False,32.9,low depth - impute or top-up
Ames 23453,1,1,0.3,0.3,SAMN14649674,ILLUMINA,PRJNA627044,sample_title,A585,25.0,71.0,Breeding material,Maize.Group.Ames.Panel.Post.2010,A585,,USA,2.0,False,32.9,re-sequence
PI 685969,1,1,1.8,1.8,SAMN31504544,ILLUMINA,PRJNA894503,cultivar,GEMS_0276,15.0,31.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0276,(53SS4/GEMS-0026)-SIB-B-003-001-SIB,USA,3.0,False,32.9,low depth - impute or top-up
PI 685967,1,1,1.8,1.8,SAMN31504541,ILLUMINA,PRJNA894503,cultivar,GEMS_0274,15.0,16.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMS-0274,(GEMS-0032xGEMS-0113)-B-004,USA,3.0,False,32.9,low depth - impute or top-up
PI 685919,1,1,1.8,1.8,SAMN31504494,ILLUMINA,PRJNA894503,cultivar,GEMS_0226,15.0,15.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMS-0226,BR106:S(LH132)(PHG39)-B-053-B-B-SIB-B,USA,3.0,False,32.9,low depth - impute or top-up
PI 641265,1,1,1.2,1.2,SAMN17776894,ILLUMINA,PRJNA684330,cultivar,TZEEI20,16.0,17.0,Breeding material,Maize.Group.Ames.Panel.2010,TZEEI 20,TZEE-W Pop X LDS6 (Set A) INB 44,NGA,3.0,False,32.9,low depth - impute or top-up
PI 685960,1,1,1.8,1.8,SAMN31504535,ILLUMINA,PRJNA894503,cultivar,GEMN_0267,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0267,NEI9008:N0826(GEMN-0155)-B-095-B-B,USA,3.0,False,32.9,low depth - impute or top-up
PI 535923,1,1,6.1,6.1,SAMN41221387,ILLUMINA,PRJNA1108025,sample_title,S90,7.0,10.0,Cultivar,Maize.Group.Ames.Panel.2010,S 90,,POL,3.0,False,32.9,call variants (moderate depth)
PI 685926,1,1,1.8,1.8,SAMN31504501,ILLUMINA,PRJNA894503,cultivar,GEMN_0233,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0233,CML329:N18-001-020-001,USA,3.0,False,32.9,low depth - impute or top-up
Ames 22018,1,1,5.6,5.6,SAMN09622446,ILLUMINA,PRJNA479960,sample_alias,C22,8.0,10.0,Cultivar,Maize.Group.Ames.Panel.2010,C22,Tendergold 23 outcross,USA,3.0,False,32.9,call variants (moderate depth)
PI 542937,1,1,0.7,0.7,SAMN14731408,ILLUMINA,PRJNA628111,cultivar,AB18,17.0,19.0,Breeding material,Maize.Group.Ames.Panel.2010,Ab18,NC7 X F6,USA,3.0,False,32.9,re-sequence
Ames 23404,1,1,0.1,0.1,SAMN14649312,ILLUMINA,PRJNA627044,sample_title,A223,18.0,23.0,Breeding material,Maize.Group.Ames.Panel.2010,A223,"[(C14 X A374) A374(3)]. Alternate in Schaefer & Bernardo [(A1 x A374) x A374(3)].  Gerdes, Behr, Coors & Tracey indicate C14 = A1.
",USA,3.0,False,32.8,re-sequence
Ames 23504,1,1,0.1,0.1,SAMN14649770,ILLUMINA,PRJNA627044,sample_title,A681,18.0,21.0,Breeding material,Maize.Group.Ames.Panel.2010,A681,[(A662 X B73) B73(3)],USA,3.0,False,32.8,re-sequence
Ames 23467,1,1,0.1,0.1,SAMN14649720,ILLUMINA,PRJNA627044,sample_title,A631,18.0,21.0,Breeding material,Maize.Group.Ames.Panel.2010,A631,[(A509 X Wf9) Wf9(3)],USA,3.0,False,32.8,re-sequence
PI 689799,1,1,1.7,1.7,SAMN31504562,ILLUMINA,PRJNA894503,cultivar,GEMS_0295,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0295,DKB830:S51-031-003,USA,3.0,False,32.8,low depth - impute or top-up
Ames 23407,1,1,0.1,0.1,SAMN14649346,ILLUMINA,PRJNA627044,sample_title,A257,18.0,22.0,Breeding material,Maize.Group.Ames.Panel.2010,A257,A73 X Os420,USA,3.0,False,32.8,re-sequence
Ames 23417,1,1,0.1,0.1,SAMN14649394,ILLUMINA,PRJNA627044,sample_title,A305,18.0,21.0,Breeding material,Maize.Group.Ames.Panel.2010,A305,C1 X H.  C1 is derived from Silver King.  H is derived from Reid Yellow Dent (Holberts).,USA,3.0,False,32.8,re-sequence
PI 685936,1,1,1.7,1.7,SAMN31504511,ILLUMINA,PRJNA894503,cultivar,GEMS_0243,15.0,15.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMS-0243,CML287:S15-024-003-B,USA,3.0,False,32.8,low depth - impute or top-up
PI 685943,1,1,1.7,1.7,SAMN31504518,ILLUMINA,PRJNA894503,cultivar,GEMS_0250,15.0,29.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0250,CL-G1703:S17c43-B-023-B-B,USA,3.0,False,32.8,low depth - impute or top-up
Ames 23421,1,1,0.1,0.1,SAMN14649410,ILLUMINA,PRJNA627044,sample_title,A321,18.0,21.0,Breeding material,Maize.Group.Ames.Panel.2010,A321,Related to III.A,USA,3.0,False,32.8,re-sequence
PI 685944,1,1,1.6,1.6,SAMN31504519,ILLUMINA,PRJNA894503,cultivar,GEMS_0251,15.0,29.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0251,CL-G1703:S17c43-B-026-B-B,USA,3.0,False,32.6,low depth - impute or top-up
PI 685971,1,1,1.6,1.6,SAMN31504546,ILLUMINA,PRJNA894503,cultivar,GEMS_0278,15.0,31.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0278,(GEMS-0115/S49w)-B-B-036-001-SIB,USA,3.0,False,32.6,low depth - impute or top-up
PI 685968,1,1,1.6,1.6,SAMN31504543,ILLUMINA,PRJNA894503,cultivar,GEMS_0275,15.0,31.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0275,((KO679Y/GEMS-0115)/GEMS-0162)-008-001-001-SIB,USA,3.0,False,32.6,low depth - impute or top-up
PI 685962,1,1,1.6,1.6,SAMN31504537,ILLUMINA,PRJNA894503,cultivar,GEMS_0269,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0269,NS1:S0852-B-054-B-B,USA,3.0,False,32.6,low depth - impute or top-up
PI 685927,1,1,1.6,1.6,SAMN31504502,ILLUMINA,PRJNA894503,cultivar,GEMS_0234,15.0,29.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0234,AR17026:S1648-B-030-B-B,USA,3.0,False,32.6,low depth - impute or top-up
PI 689797,1,1,1.5,1.5,SAMN31504560,ILLUMINA,PRJNA894503,cultivar,GEMS_0293,15.0,15.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0293,CML341:S42-B-124,USA,3.0,False,32.5,low depth - impute or top-up
Ames 23443,1,1,0.3,0.3,SAMN14649588,ILLUMINA,PRJNA627044,sample_title,A499,17.0,21.0,Breeding material,Maize.Group.Ames.Panel.2010,A499,,USA,3.0,False,32.3,re-sequence
PI 535925,1,1,6.3,6.3,SAMN41221396,ILLUMINA,PRJNA1108025,sample_title,S99,6.0,8.0,Cultivar,Maize.Group.Ames.Panel.2010,S 99,Autcross 72-75F,POL,3.0,False,32.3,call variants (moderate depth)
PI 685974,1,1,1.4,1.4,SAMN31504549,ILLUMINA,PRJNA894503,cultivar,GEMS_0281,15.0,31.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0281,BR52051:S172641-B-054-001-SIB,USA,3.0,False,32.3,low depth - impute or top-up
PI 689595,1,1,1.3,1.3,SAMN31504558,ILLUMINA,PRJNA894503,cultivar,GEMS_0291,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0291,Ki21:S(DJ7)(GEMS-0115)-B-051-002-B,USA,3.0,False,32.2,low depth - impute or top-up
Ames 23410,1,1,0.2,0.2,SAMN14649354,ILLUMINA,PRJNA627044,sample_title,A265,17.0,35.0,Breeding material,Maize.Group.Ames.Panel.2010,A265,[(B164 X H76) B164(2)],USA,3.0,False,32.2,re-sequence
PI 685925,1,1,1.3,1.3,SAMN31504500,ILLUMINA,PRJNA894503,cultivar,GEMN_0232,15.0,15.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMN-0232,SCR_Gp3:N14-028-003-B-002,USA,3.0,False,32.2,low depth - impute or top-up
Ames 23431,1,1,0.2,0.2,SAMN14649496,ILLUMINA,PRJNA627044,sample_title,A407,17.0,19.0,Breeding material,Maize.Group.Ames.Panel.2010,A407,,USA,3.0,False,32.2,re-sequence
PI 685929,1,1,1.3,1.3,SAMN31504504,ILLUMINA,PRJNA894503,cultivar,GEMN_0236,15.0,43.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0236,DK212T:N11a10-B-110-B-B,USA,3.0,False,32.2,low depth - impute or top-up
PI 685920,1,1,1.2,1.2,SAMN31504495,ILLUMINA,PRJNA894503,cultivar,GEMS_0227,15.0,16.0,Cultivar,Maize.Group.GEMs.Top.Releases,GEMS-0227,NEI9004:S2809-B-022,USA,3.0,False,32.0,low depth - impute or top-up
PI 685921,1,1,1.2,1.2,SAMN31504496,ILLUMINA,PRJNA894503,cultivar,GEMS_0228,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0228,NEI9004:S2809-B-025,USA,3.0,False,32.0,low depth - impute or top-up
PI 535921,1,1,5.5,5.5,SAMN41221362,ILLUMINA,PRJNA1108025,sample_title,S65,7.0,9.0,Cultivar,Maize.Group.Ames.Panel.2010,S 65,Open pollinated variety 'Wigor',POL,3.0,False,32.0,call variants (moderate depth)
PI 689594,1,1,1.1,1.1,SAMN31504557,ILLUMINA,PRJNA894503,cultivar,GEMS_0290,15.0,16.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMS-0290,BR52051:S172641-B-050-001-B,USA,3.0,False,31.9,low depth - impute or top-up
PI 535926,1,1,5.2,5.2,SAMN41221414,ILLUMINA,PRJNA1108025,sample_title,S117,7.0,8.0,Cultivar,Maize.Group.Ames.Panel.2010,S 117,Autcross Europ. Mat.,POL,3.0,False,31.5,call variants (moderate depth)
Ames 34388,1,1,8.8,8.8,SAMN44075670,ILLUMINA,PRJNA1170466,cultivar,CML486,15.0,15.0,Cultivar,,CML 486,P45-C8-76-1-2-1-2-B,MEX,1.0,True,31.4,call variants (moderate depth)
PI 535906,1,1,5.0,5.0,SAMN41221353,ILLUMINA,PRJNA1108025,sample_title,S56,7.0,9.0,Cultivar,Maize.Group.Ames.Panel.2010,S 56,,POL,3.0,False,31.2,call variants (moderate depth)
PI 452256,3,4,15.2,23.299999999999997,SAMN13680463,ILLUMINA,PRJNA1170466;PRJNA565870;PRJNA597703,cultivar,Zi330,3.0,3.0,Breeding material,,Zi 330,OH43 X KeLi67,CHN,1.0,True,31.2,call variants now
PI 535920,1,1,5.5,5.5,SAMN41221360,ILLUMINA,PRJNA1108025,sample_title,S63,6.0,8.0,Cultivar,Maize.Group.Ames.Panel.2010,S 63,,POL,3.0,False,31.1,call variants (moderate depth)
Ames 34383,2,2,6.7,10.8,SAMN44075634,ILLUMINA,PRJNA1170466;PRJNA684330,cultivar,CML422,15.0,30.0,Cultivar,,CML 422,G17TSR-HS5-2-4-7-1-1-1-B,MEX,1.0,True,28.3,call variants (moderate depth)
PI 686031,1,1,1.1,1.1,SAMN14731406,ILLUMINA,PRJNA628111,cultivar,AB16,25.0,40.0,Breeding material,,Ab16,M14 x GT152,USA,1.0,False,28.1,low depth - impute or top-up
PI 550533,1,1,1.9,1.9,SAMN12770928,ILLUMINA,PRJNA565870,cultivar,MP_704,16.0,27.0,Breeding material,Maize.Group.Ames.Panel.Post.2010,Mp704,Cross between Mp496 and S2 from Republica Dominica Gpo. 1. Selfed for 8 generations.,USA,2.0,False,27.9,low depth - impute or top-up
Ames 2327,1,1,3.2,3.2,SAMN17776999,ILLUMINA,PRJNA684330,cultivar,Lai1029,6.0,7.0,Breeding material,Maize.Group.Ames.Panel.2010,Lai 1029,,CHN,3.0,False,27.7,low depth - impute or top-up
Ames 34384,1,1,5.7,5.7,SAMN44075612,ILLUMINA,PRJNA1170466,cultivar,CML438,15.0,15.0,Cultivar,,CML 438,SA4-C2-FS(21/26)-1-2-2-2-B,MEX,1.0,True,26.8,call variants (moderate depth)
Ames 34378,4,4,5.5,21.9,SAMN45410771,ILLUMINA,PRJNA1011459;PRJNA1123779;PRJNA1170466;PRJNA1196311,cultivar,CML312,15.0,15.0,Cultivar,,CML 312,S89500-F2-2-2-1-1-B,MEX,1.0,False,26.5,call variants (moderate depth)
Ames 2331,1,1,2.8,2.8,SAMN17776917,ILLUMINA,PRJNA684330,cultivar,Yellow3-4,5.0,6.0,Breeding material,Maize.Group.Ames.Panel.2010,Yellow 3-4,,CHN,3.0,False,26.3,low depth - impute or top-up
NSL 29304,1,1,3.1,3.1,SAMN17776987,ILLUMINA,PRJNA684330,cultivar,R216A,4.0,6.0,Breeding material,Maize.Group.Ames.Panel.2010,R216A,(M14 x Ht1A) BC3,USA,3.0,False,25.9,low depth - impute or top-up
PI 506257,1,1,1.4,1.4,SAMN12771009,ILLUMINA,PRJNA565870,cultivar,Tzi_28,7.0,7.0,Breeding material,Maize.Group.Ames.Panel.2010,Tzi 28,F44/RppSR,NGA,3.0,False,25.8,low depth - impute or top-up
PI 708161,5,5,4.7,22.299999999999997,SAMN09725929,ILLUMINA,PRJNA483084,ecotype,Tuxpeno,15.0,15.0,Landrace,,TUXPENO,,MEX,1.0,False,25.3,low depth - impute or top-up
PI 607523,1,1,0.2,0.2,SAMN14649752,ILLUMINA,PRJNA627044,sample_title,A663,8.0,9.0,Breeding material,Maize.Group.Ames.Panel.2010,A663,Developed from (A427 x Cuzco Blanco)A427(2).,USA,3.0,False,24.8,re-sequence
PI 685901,1,1,3.0,3.0,SAMN31504490,ILLUMINA,PRJNA894503,cultivar,GEMN_0204,2.0,2.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0204,FS8A(T):N1804-006-001-B-B-SIB,USA,3.0,False,24.1,low depth - impute or top-up
Ames 26253,1,1,2.3,2.3,SAMN31504475,ILLUMINA,PRJNA894503,cultivar,NEI_9004,3.0,3.0,Breeding material,Maize.Group.Ames.Panel.2010,NEI 9004,,THA,3.0,False,23.9,low depth - impute or top-up
PI 686035,1,1,0.6,0.6,SAMN14731413,ILLUMINA,PRJNA628111,cultivar,AB26,5.0,7.0,Breeding material,Maize.Group.Ames.Panel.2010,Ab26,GT175 X F6,USA,3.0,False,23.0,re-sequence
PI 491523,1,1,9.1,9.1,SAMN09622461,ILLUMINA,PRJNA479960,sample_alias,C39,4.0,4.0,Landrace,,C-39,,MAR,1.0,False,22.9,call variants (moderate depth)
PI 685922,1,1,2.5,2.5,SAMN31504497,ILLUMINA,PRJNA894503,cultivar,GEMN_0229,1.0,1.0,Cultivar,Maize.GEM.Group1.All-GEM-Releases,GEMN-0229,SANM126:N12(LH123)-B-033,USA,3.0,False,22.6,low depth - impute or top-up
Ames 23432,1,1,0.2,0.2,SAMN14649508,ILLUMINA,PRJNA627044,sample_title,A419,20.0,22.0,Breeding material,,A419,,USA,1.0,False,22.6,re-sequence
Ames 28817,6,6,2.5,13.6,SAMN09725887,ILLUMINA,PRJNA483084,ecotype,Araguito,14.0,14.0,Breeding material,,ARAGUITO,,VEN,1.0,False,21.2,low depth - impute or top-up
Ames 34381,1,1,2.6,2.6,SAMN17776909,ILLUMINA,PRJNA684330,cultivar,CML357,12.0,12.0,Cultivar,,CML 357,SA3-C4-FS(6/24)-1-2-2-5-B,MEX,1.0,False,19.7,low depth - impute or top-up
