accession,n_traits,total_envs,in_snptools,collection,pedigree,countryOfOriginCode,IMPROVEMENT_LEVEL,PLANT_NAME
Ames 26751,27,57,False,Maize.Group.Ames.Panel.2010,Inbred K55 crossed with waxy gene donor.,USA,Breeding material,WXK55
Ames 26752,28,47,False,Maize.Group.Ames.Panel.2010,Inbred K64 crossed with waxy gene donor.,USA,Breeding material,WXK64
Ames 26753,27,45,False,Maize.Group.Ames.Panel.2010,Inbred L289 crossed with waxy gene donor.,USA,Breeding material,WXL289
Ames 26754,27,54,False,Maize.Group.Ames.Panel.2010,Inbred L317 crossed with waxy gene donor.,USA,Breeding material,WXL317
Ames 26755,28,47,False,Maize.Group.Ames.Panel.2010,Inbred M14 crossed with waxy gene donor.,USA,Breeding material,WXM14
Ames 26756,27,54,False,Maize.Group.Ames.Panel.2010,Inbred Os420 crossed with waxy gene donor.,USA,Breeding material,WXOs420
Ames 26757,27,55,False,Maize.Group.Ames.Panel.2010,Inbred W22 crossed with waxy gene donor.,USA,Breeding material,WXW22
Ames 26758,27,45,False,Maize.Group.Ames.Panel.2010,Inbred WF9 crossed with waxy gene donor.,USA,Breeding material,WXWF9
Ames 26770,29,30,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,66
Ames 26812,27,51,False,Maize.Group.Ames.Panel.2010,Spanish Gold,USA,Breeding material,C3
Ames 26813,27,54,False,Maize.Group.Ames.Panel.2010,(P39 x Spancross) Spancross,USA,Breeding material,C5
Ames 26906,26,26,False,,L317 X Hy,USA,Breeding material,L317 X Hy
Ames 26907,26,26,False,,Wf9 X 38-11,USA,Breeding material,Wf9 X 38-11
Ames 26908,32,505,False,,(Wf9 X 38-11) X (L317 X Hy),USA,Breeding material,U.S. 13
Ames 26909,17,20,False,Maize.Group.Ames.Panel.2010,Mo17 X C103 3rd Cycle,USA,Breeding material,Mo41
Ames 27017,27,68,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CH705-8
Ames 27019,27,45,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CH732-12
Ames 27020,27,68,False,Maize.Group.Ames.Panel.2010,,CAN,Breeding material,CH741-6
Ames 27026,27,43,False,Maize.Group.Ames.Panel.2010,Undetermined,CAN,Breeding material,CL19
Ames 27027,26,41,False,Maize.Group.Ames.Panel.2010,Prides // New England Flint / Zacatecas 58,CAN,Breeding material,CL20
