accession,n_traits,total_envs,in_snptools,collection,pedigree,countryOfOriginCode,IMPROVEMENT_LEVEL,PLANT_NAME
PI 690600,16,40,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Population 43: (43*PORILLO8043)-5-1-2-2-BB-F .  Population 43 is also named La Posta and its components is a Tuxpeno synthetic composed of 16 inbred lines.,MEX,Breeding material,CML 281
PI 690603,15,29,False,Maize.Group.Ames.Panel.Post.2010,P28TSR-33-3-3-B-1-2-B,MEX,Breeding material,CML 291
PI 690604,15,29,False,Maize.Group.Ames.Panel.Post.2010,SINTAMTSR-93-2-2-2-2-B,MEX,Breeding material,CML 294
PI 690607,28,58,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,"Population 500: S89500 F2-2-2-2-B*5 .  Population 500 is also named Intermediate White Dent-1 and its components are S2 lines from DeKalb and Northrup King commercial hybrids, South Asia Pop.-3 x Suwan 1, Pool 32 S1 lines with resistance to E. turcicum, Pool 20 S2 lines with resistance to Phyllachora maydis, and a few advanced inbred lines from Populations 42 and 44 and Pool 32.",MEX,Breeding material,CML 311
PI 690608,28,72,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,"Population 600: P600c0F14-2-1-2-B*4 .  Population 600 is also named Late White Dent-1 and its components are S2 and S3 lines from DeKalb and Northrup King commercial hybrids, S2 from 3Mo72 (Missouri), Pool 32 S1 lines with resistance to E. turcicum, Pool 24 S2 lines with resistance to Phyllachora maydis, and an advanced line from Pool 32 C19.",MEX,Breeding material,CML 314
PI 690609,28,73,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,"Population 502: P 502c0F1-1-3-1-B*4 .  Population 502 is also named Subtropical Intermediate White Heterotic Group ""B"" and its components are 30 S4 and S5 intermediate-maturing white lines from commercial hybrids DeKalb B807, B810, B830, and B840; Northrup King XT1033, XT1055, XT1057, and XT1059; Cargill North. Temp. Zona Mex. Dent; Pool 32 x Cornell 6006; and Kansas City 12 x Pool 31.",MEX,Breeding material,CML 321
PI 690616,15,27,False,Maize.Group.Ames.Panel.2010,(TL8645)/(P47/MP78-518)-B-24-1-1-4-1-3-B,MEX,Breeding material,CML 336
PI 690619,15,15,False,Maize.Group.Ames.Panel.2010,LAPOSTASEQ-C3-FS17-1-2-3-2-1-B,MEX,Breeding material,CML 343
PI 690620,15,37,False,Maize.Group.Ames.Panel.Post.2010,HTBA89 136-5-1-2TL-1-4-2TL-B-1TL-B-#-#,MEX,Breeding material,CML 349
PI 690621,15,27,False,Maize.Group.Ames.Panel.2010,MBRETW-F2-56-1-1-1-B-B-6-B,MEX,Breeding material,CML 371
PI 690628,15,29,False,Maize.Group.Ames.Panel.Post.2010,LAPOSTASEQ-C0-B*3-12-1-1-B,MEX,Breeding material,CML 405
PI 690630,16,16,False,Maize.Group.Ames.Panel.Post.2010,((CML242/CML176)/CML242/CML242/CML242)QPM-B*3-4-B,MEX,Breeding material,CML 524
PI 690631,25,39,False,Maize.Group.Ames.Panel.Post.2010,((CML244//CML176)/CML244/CML244/CML244)QPM-1-B-1-B,MEX,Breeding material,CML 525
PI 690632,16,16,False,Maize.Group.Ames.Panel.Post.2010,((CML246//CML176)/CML246/CML246/CML246)QPM-B*3-3-B,MEX,Breeding material,CML 526
PI 690633,15,15,False,Maize.Group.Ames.Panel.Post.2010,((CML349/CML176)/CML349/CML349/CML349)QPM-B*3-4-B,MEX,Breeding material,CML 527
PI 690634,16,16,False,Maize.Group.Ames.Panel.Post.2010,((CML352/CML176)/CML352/CML352/CML352)QPM-1-BTL-3-1TL-B-BTL-B-B-13-B,MEX,Breeding material,CML 528
PI 690635,16,16,False,Maize.Group.Ames.Panel.Post.2010,((CML354/CML176)/CML354/CML354/CML354)QPM-B*3-11-B,MEX,Breeding material,CML 529
PI 690637,16,17,False,Maize.Group.Ames.Panel.Post.2010,SA6-C4-FS10-11-2-4-3-2-B,MEX,Breeding material,CML 531
PI 690638,16,17,False,Maize.Group.Ames.Panel.Post.2010,SA6-C4-FS1-8-2-3-3-1-B,MEX,Breeding material,CML 532
PI 690640,16,16,False,Maize.Group.Ames.Panel.Post.2010,SA4-C4-FS40-7-1-2-2-1-2-1-B,MEX,Breeding material,CML 534
PI 690641,16,17,False,Maize.Group.Ames.Panel.Post.2010,SA4-C4-FS86-13-1-2-5-2-1-2-B,MEX,Breeding material,CML 535
PI 690672,29,29,False,,,USA,Landrace,Wilbur's Rhode Island Flint
PI 690677,17,17,False,,,USA,Landrace,Carpenter's Rhode Island Flint
PI 690678,19,19,False,,,USA,Landrace,King Phillip's Rhode Island Flint
PI 690679,20,21,False,,,USA,Landrace,Canada Yellow Flint
PI 690681,34,34,False,,,USA,Landrace,6-Nations
PI 690686,27,28,False,,,USA,Landrace,Aunt Mary's Sweet Corn
PI 690687,29,29,False,,,USA,Landrace,White Flour Corn
PI 692200,27,52,False,Maize.Iowa.Stiff.Stalk.Inbreds,Reid Early Dent (Troyer strain),USA,Breeding material,Tr 9-1-1-6
PI 692201,28,75,False,Maize.Iowa.Stiff.Stalk.Inbreds,Reid Yellow Dent,USA,Breeding material,Fe
PI 693038,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(ANDAQUI CAQ307 FT/PHB47)/PHB47 #007-(2n)-002-001-B,USA,Cultivar,BGEM-0025-S
PI 693039,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(ARAGUITO VEN678/PHB47)/PHB47 #006-(2n)-009-001-B,USA,Cultivar,BGEM-0037-S
PI 693040,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,((Arizona - LIB 16/PHZ51 B)/PHZ51)-(2n)-002-001-B,USA,Cultivar,BGEM-0039-N
PI 693041,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(CANDELA ECU531/PHB47)/PHB47 #003-(2n)-001-001-B,USA,Cultivar,BGEM-0059-S
PI 693042,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,((Capio rosado - ARG 460/PHZ51)/PHZ51)-(2n)-001-002-B,USA,Cultivar,BGEM-0061-N
PI 693043,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(CON NORT ZAC161/PHB47)/PHB47 #005-(2n)-001,USA,Cultivar,BGEM-0073-S
PI 693044,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(CRISTALINO AMAR AR21004/PHB47)/PHB47 #005-(2n)-003-001-B,USA,Cultivar,BGEM-0079-S
PI 693045,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(DULCILLO DE NO SON57/PHB47)/PHB47 #005-(2n)-003-001-B,USA,Cultivar,BGEM-0094-S
PI 693046,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(EARLY CARIBBEAN MAR9/PHB47)/PHB47 #006-(2n)-002,USA,Cultivar,BGEM-0099-S
PI 693047,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(ELOTES OCCIDENT NAY29/PHZ51)/PHZ51 #004-(2n)-004-001-B,USA,Cultivar,BGEM-0107-N
PI 693048,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,((Jora - ANC 1/PHZ51 B)/PHZ51)-(2n)-003-001-B,USA,Cultivar,BGEM-0122-N
PI 693049,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(KARAPAMPA BOV978/PHB47)/PHB47 #005-(2n)-003-001-B,USA,Cultivar,BGEM-0137-S
PI 693050,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,CUBA164:N(PHZ51)(PHZ51)-(2n)-002-001-B,USA,Cultivar,BGEM-0157-N
PI 693051,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(MOROCHO APUC77/PHB47)/PHB47 #003-(2n)-001-001-B,USA,Cultivar,BGEM-0175-S
PI 693052,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(PHB47/(PHB47/OLOTON [GUA383]{CIMYT}))-SIB-005-001-001-(2n)-001-001-B,USA,Cultivar,BGEM-0178-S
PI 693053,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(PATILLO BOV493/PHZ51)/PHZ51 #001-(2n)-001-001-B,USA,Cultivar,BGEM-0191-N
PI 693054,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(PHB47/PERLA ANC23)/PHB47 #002-(2n)-001-001-B,USA,Cultivar,BGEM-0200-S
PI 693055,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(PHB47/PISAN BOV344)/PHB47 #003-(2n)-001,USA,Cultivar,BGEM-0213-S
PI 693056,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(POJ CHICO BOV800/PHZ51)/PHZ51 #006-(2n)-001-001-B,USA,Cultivar,BGEM-0216-N
PI 693057,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(POJ CHICO BOV800/PHB47)/PHB47 #002-(2n)-001-001-B,USA,Cultivar,BGEM-0218-S
PI 693058,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,((Tehua - CHS29/PHB47 B)/PHB47)-(2n)-003-001-B,USA,Cultivar,BGEM-0233-S
PI 693059,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(YUCATAN TOL389 ICA/PHZ51)/PHZ51 #005-(2n)-002-001-B,USA,Cultivar,BGEM-0240-N
PI 693060,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(YUCATAN TOL389 ICA/PHB47)/PHB47 #003-(2n)-001-002-001-B,USA,Cultivar,BGEM-0244-S
PI 693061,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,(YUNGUENO BOV362/PHZ51)/PHZ51 #006-(2n)-002-001-B,USA,Cultivar,BGEM-0248-N
PI 693062,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,((Chandelle - VEN 409/PHB47 B)/PHB47)-(2n)-001-001-B,USA,Cultivar,BGEM-0254-S
PI 693063,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,((Chirimito - VEN 703/PHZ51 B)/PHZ51)-(2n)-001-001-B,USA,Cultivar,BGEM-0256-N
PI 693064,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,((Culli - ARG 471/PHB47 B)/PHB47)-(2n)-001-001-B,USA,Cultivar,BGEM-0257-S
PI 693065,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,((Culli - ARG 471/PHB47 B)/PHB47)-(2n)-002-001-B,USA,Cultivar,BGEM-0258-S
PI 693066,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,((Tepecintle - GUA 65/PHB47 B)/PHB47)-(2n)-001-001-B,USA,Cultivar,BGEM-0261-S
PI 693067,16,16,False,Maize.GEM.Group2.All-BGEM-Releases,((Tuxpeño Norteño - CHH287/PHB47 B)/PHB47)-(2n)-002-001-B,USA,Cultivar,BGEM-0263-S
PI 693068,16,16,False,,,MEX,Landrace,Yucatan 96
PI 693069,16,16,False,,,MEX,Landrace,Yucatan 138
PI 693323,31,42,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,T61 x NC37,USA,Breeding material,GA209
PI 693335,30,36,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Va17 x C103 Backcross,USA,Breeding material,Va22
PI 693336,34,67,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,WD x W22,USA,Breeding material,W182B Goodman-Buckler
PI 693340,31,98,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,N28 X H91,USA,Cultivar,H100
PI 693349,27,93,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,A21 x W185,CAN,Breeding material,CMV3
PI 693350,28,91,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Cuban variety of the race Coastal Tropical Flint.,CUB,Breeding material,A6
PI 693351,28,80,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Kroonstad Robyn X Leaming Yellow Dent,ZAF,Breeding material,A441-5
PI 693352,30,48,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B73,USA,Breeding material,B73Htrhm
PI 693359,27,59,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,INRA 258 (double cross hybrid of (W33 x F115) x (F7 x EP1),CAN,Breeding material,CO255
PI 693360,28,67,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,BO60W(A166N X B556Y-B560Y)B557Y,ZAF,Breeding material,D940Y
PI 693364,28,82,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,"Multi cross including Whatley, Cuban, garric, Creole, and Other)",USA,Breeding material,GT112
PI 693366,29,68,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Teko Yellow X Natal Yellow Horsetooth,ZAF,Breeding material,I137TN
PI 693382,18,55,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Suwan 1(S)C4-S8-19-5 (2028),THA,Breeding material,Ki14
PI 693383,29,73,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,KS6(S)C2-S8-366 (Kei9102),THA,Breeding material,Ki44
PI 693384,28,54,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,"North Carolina version of Hi27.  Hi27 pedigree is: sister line (MV conversion) of CM104(India), (=ATheo 21(B)#).",USA,Breeding material,Hi27 Goodman-Buckler
PI 693386,28,54,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,L97 x A71,USA,Breeding material,CI 91B Goodman-Buckler
PI 693387,29,56,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Selected from (Oh7 x 'Stiff Stalk Synthetic' gamete).,USA,Breeding material,N7A Goodman-Buckler
PI 693388,28,53,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,(L317 x 33-16) 33-16 ^2,USA,Breeding material,CI 7 Goodman-Buckler
PI 693391,29,80,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B68^2.HtN  HtN is a donor containing a major gene for resistance to Helminthosporium turcicum tracing to a variety of Pepitilla.,ZAF,Breeding material,A214N Goodman-Buckler
PI 693392,18,21,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Recovered blight resistant strain of B2.,USA,Breeding material,CI 28A Goodman-Buckler
PI 693393,29,57,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Hastings White Prolific x Florida Flint,USA,Breeding material,F6 Goodman-Buckler
PI 693394,27,51,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Ill.B10 X W25,USA,Breeding material,W22 Goodman-Buckler
PI 693396,30,83,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Honey June X Mexican June,USA,Breeding material,81-1
PI 693400,31,62,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,(Whately Yellow x Tennessee Red Cob) Young,USA,Breeding material,SC357
PI 693403,17,29,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Mexico 13,AUS,Breeding material,Q6199
PI 693870,20,21,False,,,USA,Cultivar,Bentley White
PI 693874,24,85,False,,,USA,Breeding material,L 578D
PI 693876,29,48,False,Maize.Group.Ames.Panel.2010,WD x WF9,USA,Breeding material,ND468
PI 693877,29,35,False,Maize.Group.Ames.Panel.2010,Oh51A x ND230^3,USA,Breeding material,ND407
PI 693879,27,46,False,Maize.Group.Ames.Panel.2010,15-28 X H (Rustler X Holbert Yellow Dent),USA,Breeding material,A385
PI 693880,27,45,False,Maize.Group.Ames.Panel.2010,A90 X Wf9,USA,Breeding material,A652
PI 693881,27,93,False,Maize.Group.Ames.Panel.2010,[(Mo21A x C.I.64) x (Oh28 x Oh51A)],USA,Breeding material,H60
PI 693882,26,109,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Wisconsin #25,USA,Breeding material,WD
PI 693883,27,100,False,Maize.Group.Ames.Panel.2010,PI 217408 (Longfellow Flint) Northern North American 8 Row Flint.,USA,Breeding material,MR14 (Longfellow Flint)
PI 693884,27,53,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,ND203 x B14,USA,Breeding material,A641 Goodman-Buckler
PI 693885,25,39,False,Maize.Group.Ames.Panel.2010,JAL 142 (S6) Race Palomero de Jalisco. INIFAP accession MEX 2847.,USA,Cultivar,MR15 (Palomero de Jalisco)
PI 693886,25,39,False,Maize.Group.Ames.Panel.2010,CUN 465 (NRC) Race Pollo.,USA,Cultivar,MR26 (Pollo)
PI 694012,29,48,False,Maize.Group.Ames.Panel.2010,,USA,Cultivar,W3607
PI 694028,15,15,False,,,USA,Landrace,W Woodle Yellow Dent
PI 694029,15,15,False,,,USA,Landrace,J Coward Mixed Dent
PI 694030,15,15,False,,,USA,Landrace,L Moody Mixed Dent
PI 694031,17,17,False,,,USA,Landrace,Q H Mixed Dent
PI 694032,17,17,False,,,USA,Landrace,W. S. Hughes Mixed Dent
PI 694033,15,15,False,,,USA,Landrace,J Carraway White Dent
PI 694034,15,15,False,,,USA,Landrace,Wise White Dent
PI 694035,15,15,False,,,USA,Landrace,J J Allen White Dent
PI 694036,15,15,False,,,USA,Landrace,J C Daniel Yellow Dent
PI 694063,19,23,False,Maize.Group.Ames.Panel.2010,(6-5 X CI11b) CI11b (6-5 is a Lancaster line),USA,Breeding material,CI 1
PI 694064,25,41,False,Maize.Group.Ames.Panel.2010,(CI24 x CI540) CI24,USA,Breeding material,CI 3
PI 694065,28,32,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,C.I. 20
PI 694066,17,19,False,Maize.Group.Ames.Panel.2010,U.S. Selection 119 (strain of Boone Co. White),USA,Breeding material,CI 23
PI 694067,26,28,False,Maize.Group.Ames.Panel.2010,Boone County White,USA,Breeding material,C.I. 24
PI 694068,18,20,False,Maize.Group.Ames.Panel.2010,CI 2 x 23R4,USA,Breeding material,CI 27
PI 694070,28,48,False,Maize.Group.Ames.Panel.2010,Recovered blight resistant B2,USA,Breeding material,C.I. 28b
PI 694071,19,23,False,Maize.Group.Ames.Panel.2010,Recovered blight resistant B2,USA,Breeding material,C.I. 28c
PI 694072,18,20,False,Maize.Group.Ames.Panel.2010,Ky114 x WF9^3,USA,Breeding material,CI 29B
PI 694073,28,31,False,Maize.Group.Ames.Panel.2010,Os420 x NC34,USA,Breeding material,C.I. 30
PI 694074,28,32,False,Maize.Group.Ames.Panel.2010,L317 x L97,USA,Breeding material,C.I. 32
PI 694075,19,23,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,C.I. 34
PI 694076,28,32,False,Maize.Group.Ames.Panel.2010,38-11 x NC34 giving a recovered strain of 38-11,USA,Breeding material,CI 38B
PI 694077,18,19,False,Maize.Group.Ames.Panel.2010,Recovered strain of Os420,USA,Breeding material,CI 40A
PI 694079,28,58,False,Maize.Group.Ames.Panel.2010,(Hy x Mo21A) -B3 -#3-S3-1-2-1 giving a Recovered blight resistant Hy,USA,Breeding material,CI 42A
PI 694080,18,21,False,Maize.Group.Ames.Panel.2010,L97 x Oh07^2,USA,Breeding material,C.I. 44
PI 694081,18,20,False,Maize.Group.Ames.Panel.2010,(Mo21A x R4) x (NC34 x R4),USA,Breeding material,C.I. 45
PI 694082,28,55,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,C.I. 46
PI 694083,18,19,False,Maize.Group.Ames.Panel.2010,Mo21A x Ky49^4,USA,Breeding material,C.I. 49a
PI 694084,28,31,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,C.I. 70
PI 694085,27,55,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,C.I. 72
PI 694086,28,46,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,C.I. 74
PI 694087,28,80,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,C.I. 75
PI 694088,18,21,False,Maize.Group.Ames.Panel.2010,Pd2287-1 x R39,USA,Breeding material,C.I. 82a
PI 694089,28,57,False,Maize.Group.Ames.Panel.2010,Pd2287-1 x R39,USA,Breeding material,C.I. 82b
PI 694090,18,21,False,Maize.Group.Ames.Panel.2010,Blight resistant strain isolated from (Pd2287-2 x CI 20),USA,Breeding material,C.I. 83a
PI 694091,28,33,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,C.I. 84b
PI 694092,28,31,False,Maize.Group.Ames.Panel.2010,Blight resistant strain isolated from (Np3197-1 x CI 14),USA,Breeding material,C.I. 85b
PI 694093,27,30,False,Maize.Group.Ames.Panel.2010,Blight resistant isolated strain from (B3510 x R35),USA,Breeding material,C.I. 86b
PI 694094,28,31,False,Maize.Group.Ames.Panel.2010,Blight resistant strain isolated from (GAL467 x T528),USA,Breeding material,C.I. 88a
PI 694095,28,32,False,Maize.Group.Ames.Panel.2010,Blight resistant isolated strain from (L97 x Tr),USA,Breeding material,C.I. 89b
PI 694096,19,22,False,Maize.Group.Ames.Panel.2010,Blight resistant strain isolated from (L97 x M14),USA,Breeding material,C.I. 90a
PI 694099,27,54,False,Maize.Group.Ames.Panel.2010,(CI24 x CI540) CI24,USA,Breeding material,C.I. 91c
PI 694101,27,53,False,Maize.Group.Ames.Panel.2010,CI15 x L97,USA,Breeding material,C.I. 93a
PI 694102,28,33,False,Maize.Group.Ames.Panel.2010,Recovered strain of L317,USA,Breeding material,C.I. 317b
PI 695076,26,123,False,,,USA,Breeding material,ILLINOIS LOW OIL-LOT I
PI 695077,29,29,False,,,USA,Breeding material,ILLINOIS HIGH OIL
PI 695386,15,15,False,Maize.GEM.Group1.All-GEM-Releases,(GEMN-0104/GEMN-0097)-070-003-B,USA,Cultivar,GEMN-0310
PI 695387,16,30,False,Maize.GEM.Group1.All-GEM-Releases,BR106:S42-063-002-B,USA,Cultivar,GEMS-0311
PI 695388,15,15,False,Maize.GEM.Group1.All-GEM-Releases,PASCO14:S11a-128-003-B,USA,Cultivar,GEMS-0312
PI 698312,18,19,False,,DK888 Hybrid.,THA,Breeding material,DK888(C0)
PI 698313,18,19,False,,DK222T Hybrid.,THA,Breeding material,DK222T(C0)
PI 698314,22,36,False,,XL370A Hybrid.,BRA,Breeding material,XL370A(C0)
PI 698315,20,21,False,,XL380 Hybrid.,BRA,Breeding material,XL380(C0)
PI 698316,20,21,False,,XL212 Hybrid.,BRA,Breeding material,XL212(C0)
PI 698317,18,19,False,,B830 Hybrid.,MEX,Breeding material,B830(C0)
PI 698318,18,19,False,,B844 Hybrid.,MEX,Breeding material,B844(C0)
PI 698328,22,22,False,,Shoe Peg,USA,Landrace,Country Gentleman
PI 698329,25,25,False,,,USA,Cultivar,Gills Golden Early Market
PI 698331,28,47,False,,,USA,Landrace,Golden Midget
PI 698332,25,25,False,,,USA,Landrace,Stowalls Evergreen
PI 698333,28,47,False,,,USA,Landrace,White Midget
PI 698334,17,17,False,,,USA,Landrace,Oregon Evergreen
PI 698336,17,17,False,,,USA,Landrace,Howling Mob
PI 698338,27,54,False,,,USA,Landrace,Barden Wonder Bantam
PI 698339,18,18,False,,,USA,Landrace,Blands Extra Early
PI 698598,16,16,False,Maize.GEM.Group1.All-GEM-Releases,ATL100:N(LH82)(GEMN-0097)-090-001-002%SIB%SIB,USA,Cultivar,GEMN-0309
PI 698599,16,16,False,Maize.GEM.Group1.All-GEM-Releases,(GEMS-0162/GEMS-0227)-040-002-001-001%SIB%SIB,USA,Cultivar,GEMS-0303
PI 698600,16,16,False,Maize.GEM.Group1.All-GEM-Releases,(GEMS-0162/GEMS-0227)-046-001-001-002%SIB%SIB,USA,Cultivar,GEMS-0304
PI 698601,16,16,False,Maize.GEM.Group1.All-GEM-Releases,(GEMS-0227/PHP38)-018-001-001-001%SIB%SIB,USA,Cultivar,GEMS-0305
PI 698602,16,16,False,Maize.GEM.Group1.All-GEM-Releases,((LH195/KO679Y)/GEMS-0227)-010-001-002-002%SIB%SIB,USA,Cultivar,GEMS-0306
PI 698603,16,16,False,Maize.GEM.Group1.All-GEM-Releases,((PHB47/CML373)/GEMS-0162)-SIB-053-002-002%SIB%SIB,USA,Cultivar,GEMS-0307
PI 698604,16,16,False,Maize.GEM.Group1.All-GEM-Releases,((PHB47/CML373)/GEMS-0162)-SIB-086-001-001%SIB%SIB,USA,Cultivar,GEMS-0308
PI 698952,28,32,False,Maize.Group.Ames.Panel.2010,Selection from Minnesota 22-35 (Funk Yellow Dent),USA,Breeding material,H5
PI 698953,28,30,False,Maize.Group.Ames.Panel.2010,CI187-2 x ITE701,USA,Breeding material,H10
PI 698957,29,32,False,Maize.Group.Ames.Panel.2010,Johnson County White,USA,Breeding material,H22w
PI 698958,28,30,False,Maize.Group.Ames.Panel.2010,Pride of Saline,USA,Breeding material,H23
PI 698959,28,56,False,Maize.Group.Ames.Panel.2010,Johnson County White,USA,Breeding material,H25W
PI 698960,28,30,False,Maize.Group.Ames.Panel.2010,White M14,USA,Breeding material,H26w
PI 698961,28,32,False,Maize.Group.Ames.Panel.2010,White L,USA,Breeding material,H27w
PI 698962,28,31,False,Maize.Group.Ames.Panel.2010,(K60 x Hy) x Hy,USA,Breeding material,H28
PI 698963,28,31,False,Maize.Group.Ames.Panel.2010,White 205-2,USA,Breeding material,H29
PI 698964,27,30,False,Maize.Group.Ames.Panel.2010,(K64 x 38-11)38-11^2,USA,Breeding material,H30w
PI 698965,25,59,False,Maize.Group.Ames.Panel.Post.2010,Illinois Low Oil,USA,Breeding material,H31W
PI 698966,28,32,False,Maize.Group.Ames.Panel.2010,(Oh28 x M14)M14,USA,Breeding material,H41
PI 698968,28,31,False,Maize.Group.Ames.Panel.2010,(I205 x WF9)WF9,USA,Breeding material,H45
PI 698969,28,30,False,Maize.Group.Ames.Panel.2010,(R2 x WF9)WF9,USA,Breeding material,H46
PI 698970,28,32,False,Maize.Group.Ames.Panel.2010,(38-11 x Mo21A)38-11^2,USA,Breeding material,H50
PI 698971,28,32,False,Maize.Group.Ames.Panel.2010,(38-11 x Mo21A)38-11,USA,Breeding material,H51
PI 698973,28,33,False,Maize.Group.Ames.Panel.2010,(Hy X Mo21A)Hy2^2,USA,Breeding material,H55
PI 698976,28,31,False,Maize.Group.Ames.Panel.2010,(NC34 x Oh51A)Oh51A,USA,Breeding material,H73
PI 698977,18,23,False,Maize.Group.Ames.Panel.2010,Oh43 x CI90A,USA,Breeding material,H88
PI 698978,28,52,False,Maize.Group.Ames.Panel.Post.2010,B14 x GE440,USA,Breeding material,H89
PI 698979,27,27,False,Maize.Group.Ames.Panel.Post.2010,,USA,Breeding material,H92
PI 698980,28,55,False,Maize.Group.Ames.Panel.2010,(B37 x GE440)B37^4 Ht,USA,Breeding material,H93
PI 698982,28,31,False,Maize.Group.Ames.Panel.2010,Oh43 x Hy,USA,Breeding material,H98
PI 698983,28,31,False,Maize.Group.Ames.Panel.2010,H88 x H95,USA,Breeding material,H101
PI 698984,28,80,False,Maize.Group.Ames.Panel.2010,H26 x A619 ^4,USA,Cultivar,H104W
PI 698985,28,57,False,Maize.Group.Ames.Panel.2010,H28 x H84 ^3.,USA,Breeding material,H106w
PI 698986,28,31,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,H107
PI 698987,17,20,False,Maize.Group.Ames.Panel.2010,(Mo17 x H99) Mo17,USA,Breeding material,H108
PI 698988,18,20,False,Maize.Group.Ames.Panel.2010,(Mo17 x H99) Mo17,USA,Breeding material,H109
PI 698989,27,45,False,Maize.Group.Ames.Panel.2010,[(H99 X H98) X H98],USA,Cultivar,H112
PI 698992,16,17,False,Maize.Group.Ames.Panel.2010,B73 X H100,USA,Cultivar,H119
PI 698995,18,20,False,Maize.Group.Ames.Panel.2010,(B73 X H84) B73,USA,Cultivar,H123
PI 698997,26,26,False,,,USA,Landrace,Gigi Hill
PI 698998,26,51,False,,,USA,Landrace,Katie Wheeler
PI 698999,25,49,False,,,CAN,Landrace,Six Nations Blue
PI 699063,20,20,False,,,USA,Cultivar,Moore's Open Pollinated
PI 699066,23,24,False,,,USA,Cultivar,National Long Ear
