accession,n_traits,total_trait_envs,deepest_trait_envs,n_traits_ge2env,snptools_evidence,PLANT_NAME,collection,IMPROVEMENT_LEVEL,countryOfOriginCode,pedigree
Ames 23393,18,20,2,2,pi_link,A96,Maize.Group.Ames.Panel.2010,Breeding material,USA,64 X H (64 is the same as C64; C64 was renamed A48)
PI 595564,18,33,2,15,name_match_only,CML 285,Maize.Group.Ames.Panel.2010,Breeding material,MEX,Population 24: P 24C5FS34-2-3-B-f-2#-BBB-## .  Population 24 is also named Antigua-Veracruz 181 and its components are Tuxpeno race collections Veracruz 181 and Antigua Group-2 (Antigua collections 1D to 8D).
PI 151531,18,34,3,15,name_match_only,Os426,,Breeding material,USA,
Ames 24706,18,18,1,0,pi_link,MS12,Maize.Group.Ames.Panel.2010,Breeding material,USA,[(Golden Glow X M. Amargo) S5 X Duncan] S2 X Golden Glow
PI 517968,18,24,5,3,name_match_only,Pa392,Maize.Group.Ames.Panel.2010,Breeding material,USA,Selection from PA Virus resistant early synthetic.
Ames 24589,18,35,2,17,pi_link,I159,Maize.Group.Ames.Panel.2010,Breeding material,USA,Iodent
Ames 23425,18,21,2,3,pi_link,A344,Maize.Group.Ames.Panel.2010,Breeding material,USA,U.S. 153 (Iowa)
Ames 22757,18,23,4,3,name_match_only,Pa405,Maize.Group.Ames.Panel.2010,Cultivar,USA,NY3 X Pa54
PI 595555,17,17,1,0,name_match_only,CML 28,Maize.Group.Ames.Panel.2010,Breeding material,MEX,"Population 27: P 27 C5FS35-8-3-B-####-B .  Population 27 is also named Amarillo Cristalino-1 and its components are Tuxpeno, Cuba flints, ETO amarillo, and 15 families from the tropical late yellow flint pool (Pool 25)."
PI 595562,17,18,2,1,name_match_only,CML 282,Maize.Group.Ames.Panel.2010,Breeding material,MEX,"Pool 22: (Pool 22 x Pool 22)-2-2-3-1-BB-## .  Pool 22 is also named Tropical intermediate yellow dent (TIYD) and its components are materials from Mexico, Cuba, the Dominican Republic, Antigua, Brazil, Peru, India, Colombia, Puerto Rico Argentina, and Central America."
Ames 23446,17,20,2,3,pi_link,A508,Maize.Group.Ames.Panel.2010,Breeding material,USA,A357 X Haney's Minnesota No. 13
Ames 27117,17,18,2,1,name_match_only,Ia5125B,Maize.Group.Ames.Panel.2010,Breeding material,USA,
Ames 23389,17,20,2,3,pi_link,A15,Maize.Group.Ames.Panel.2010,Breeding material,USA,Minnesota No. 13 (Kalmoes #13)
PI 595571,17,17,1,0,name_match_only,CML 305,Maize.Group.Ames.Panel.2010,Breeding material,MEX,Syn.Amarillo TSR-23-2-2-1-3-BB-####
PI 548830,17,19,2,2,pi_link,29MIBZ2,Maize.Group.PVP,Cultivar,USA,(B87 X (A line selected from Pioneer 3901 hybrid)) X (A line selected from Pioneer 3901 hybrid)
PI 520731,17,18,2,1,pi_link,647,,Landrace,BFA,
PI 520704,17,31,2,14,pi_link,488,,Cultivated material,BFA,
PI 520624,17,18,2,1,pi_link,8,,Cultivated material,BFA,
PI 520623,17,18,2,1,pi_link,3,,Landrace,BFA,
PI 690581,17,46,3,15,name_match_only,CML 61,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,MEX,"Population 21: P 21C5F57-1-1-3-B1#B1-B1#B1-B1 .  Population 21 is also named Tuxpeno-1 and its components are Tuxpeno race collections Veracruz 48, Veracruz 143, Veracruz 174, Michoacan 137, Michoacan 166, V-520C, Colima Group 1-Mix.1, and 16 families from the tropical late white dent pool (Pool 24)."
Ames 19997,17,17,1,0,pi_link,1254,,Landrace,YEM,
PI 462374,17,17,1,0,pi_link,16,,Landrace,SDN,
PI 558531,16,26,5,4,name_match_only,Mo16W,Maize.Group.Ames.Panel.2010,Breeding material,USA,Developed from the open-pollinated variety Pipe Corn.
PI 587149,16,24,4,3,pi_link,Va26,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Oh43 x K155
PI 690605,16,31,2,15,name_match_only,CML 304,Maize.Group.Ames.Panel.2010,Breeding material,MEX,SINTAMTSR-76-1-2-3-2-B
PI 700948,16,31,3,14,pi_link,GE54,,Breeding material,USA,
PI 558518,16,24,5,4,name_match_only,Mo15W,Maize.Group.Ames.Panel.2010,Breeding material,USA,Developed from the open-pollinated variety Pipe Corn.
PI 550483,16,23,4,3,pi_link,B76,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,(CI31A/B37)F2//B37
PI 550440,16,21,3,3,pi_link,B64,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,41.2504B/3*B14
PI 520726,15,29,2,14,pi_link,618,,Cultivated material,BFA,
Ames 34383,15,30,2,15,name_match_only,CML 422,,Cultivar,MEX,G17TSR-HS5-2-4-7-1-1-1-B
Ames 34386,15,15,1,0,name_match_only,CML 451,,Cultivar,MEX,((NPH-28-1/G25)/NPH-28-1)-1-2-1-1-3-1-B
PI 690602,15,15,1,0,name_match_only,CML 289,Maize.Group.Ames.Panel.2010,Breeding material,MEX,P24STE-C1-FS23-5-2-1-2-3-B
PI 690606,15,29,2,14,name_match_only,CML 307,Maize.Group.Ames.Panel.Post.2010,Breeding material,MEX,SINTAMTSR-61-3-2-8-2-B
PI 690611,15,16,2,1,name_match_only,CML 325,Maize.Group.Ames.Panel.2010,Breeding material,MEX,P45-C6-F28-1-2-B
PI 690627,15,26,3,10,name_match_only,CML 395,Maize.Group.Ames.Panel.2010,Breeding material,MEX,90323(B)-1-B-1-B*4
Ames 34388,15,15,1,0,name_match_only,CML 486,,Cultivar,MEX,P45-C8-76-1-2-1-2-B
Ames 34387,15,15,1,0,name_match_only,CML 471,,Cultivar,MEX,P147-F2-110-1-2-B-2
PI 690612,15,26,2,11,name_match_only,CML 327,Maize.Group.Ames.Panel.2010,Breeding material,MEX,P45-C6-F83-3-1-B
