Name,name_base,SRA_ID,BioProject,reason
Luosu3,Luosu3,SRR11301894,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Lv28,Lv28,SRR11301903,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Zong31,Zong31,SRR11301906,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
87_1,87_1,SRR11301908,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Wu109,Wu109,SRR11301910,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
K14,K14,SRR11301937,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Weifeng322,Weifeng322,SRR11301948,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_8,WIL_8,SRR11301970,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_7,WIL_7,SRR11301971,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_11,WIL_11,SRR11301972,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Baiye4,Baiye4,SRR11301973,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
8723,8723,SRR11301974,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_14,WIL_14,SRR11301975,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_3,WIL_3,SRR11301976,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
CT52C,CT52C,SRR11301979,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_5,WIL_5,SRR11301981,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Aiji205,Aiji205,SRR11302010,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
HuangC,HuangC,SRR11302013,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ernan24,Ernan24,SRR11302017,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
5237,5237,SRR11302021,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
485,485,SRR11302023,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
9010,9010,SRR11302025,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Longkang1,Longkang1,SRR11302026,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Dan360,Dan360,SRR11302028,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Liao9586,Liao9586,SRR11302030,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Si273,Si273,SRR11302032,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Dian11,Dian11,SRR11302036,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Diangu11A,Diangu11A,SRR11302037,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
81565,81565,SRR11302039,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ye8001,Ye8001,SRR11302041,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
C8605_2,C8605_2,SRR11302043,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
8902,8902,SRR11302045,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
