sample,runs,bases,platform,strategies,studies,x_cov,accession,n_traits,in_snptools,collection,PLANT_NAME,matched
SAMN25162207,1,44146229100,ILLUMINA,WGS,PRJNA799396,19.2,,,False,,,False
SAMN25162208,1,46405834800,ILLUMINA,WGS,PRJNA799396,20.2,,,False,,,False
SAMN26096858,1,28522628278,ILLUMINA,WGA,PRJNA808651,12.4,PI 550473,48.0,True,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B73,True
SAMN26096859,1,35911708484,ILLUMINA,WGA,PRJNA808651,15.6,PI 550473,48.0,True,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B73,True
SAMN26096860,1,25167729908,ILLUMINA,WGA,PRJNA808651,10.9,PI 550473,48.0,True,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B73,True
SAMN26096861,1,49631236284,ILLUMINA,WGA,PRJNA808651,21.6,PI 550473,48.0,True,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B73,True
SAMN26561113,9,89229915000,ILLUMINA,OTHER,PRJNA759188,38.8,NSL 30053,33.0,True,Maize.Group.Ames.Panel.2010,W22,True
SAMN26561114,9,89384090700,ILLUMINA,OTHER,PRJNA759188,38.9,NSL 30053,33.0,True,Maize.Group.Ames.Panel.2010,W22,True
SAMN26561115,3,39311403300,ILLUMINA,OTHER,PRJNA759188,17.1,NSL 30053,33.0,True,Maize.Group.Ames.Panel.2010,W22,True
SAMN26561116,3,49143836400,ILLUMINA,OTHER,PRJNA759188,21.4,NSL 30053,33.0,True,Maize.Group.Ames.Panel.2010,W22,True
SAMN26561117,5,55702503600,ILLUMINA,OTHER,PRJNA759188,24.2,NSL 30053,33.0,True,Maize.Group.Ames.Panel.2010,W22,True
SAMN26561118,3,27643543500,ILLUMINA,OTHER,PRJNA759188,12.0,NSL 30053,33.0,True,Maize.Group.Ames.Panel.2010,W22,True
SAMN27189589,1,59623220700,ILLUMINA,WGS,PRJNA822510,25.9,Ames 34543,,False,,,True
SAMN27189590,1,65168649000,ILLUMINA,WGS,PRJNA822510,28.3,PI 587152,39.0,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,W64A,True
SAMN27189591,1,102899656800,ILLUMINA,WGS,PRJNA822510,44.7,,,False,,,False
SAMN27189592,1,84711966900,ILLUMINA,WGS,PRJNA822510,36.8,,,False,,,False
SAMN27362675,1,41507016600,ILLUMINA,WGS,PRJNA823837,18.0,,,False,,,False
SAMN27646643,1,112333983300,ILLUMINA,WGS,PRJNA828275,48.8,,,False,,,False
SAMN27646644,1,112576045800,ILLUMINA,WGS,PRJNA828275,48.9,,,False,,,False
SAMN27646645,1,112369454100,ILLUMINA,WGS,PRJNA828275,48.9,,,False,,,False
SAMN27646646,1,112921040100,ILLUMINA,WGS,PRJNA828275,49.1,,,False,,,False
SAMN27646647,1,111167001300,ILLUMINA,WGS,PRJNA828275,48.3,,,False,,,False
SAMN27646648,1,113087216400,ILLUMINA,WGS,PRJNA828275,49.2,,,False,,,False
SAMN27646649,1,112059480300,ILLUMINA,WGS,PRJNA828275,48.7,,,False,,,False
SAMN27646650,1,112337029800,ILLUMINA,WGS,PRJNA828275,48.8,,,False,,,False
SAMN27646651,1,113293135500,ILLUMINA,WGS,PRJNA828275,49.3,,,False,,,False
SAMN27646652,1,112515710400,ILLUMINA,WGS,PRJNA828275,48.9,,,False,,,False
SAMN27917258,1,48698004600,ILLUMINA,OTHER,PRJNA832702,21.2,PI 550473,48.0,True,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B73,True
SAMN27917290,1,12161931600,ILLUMINA,OTHER,PRJNA832702,5.3,PI 550473,48.0,True,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B73,True
SAMN27917292,1,25670275500,ILLUMINA,OTHER,PRJNA832702,11.2,PI 550473,48.0,True,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B73,True
SAMN27917332,1,11697241200,ILLUMINA,OTHER,PRJNA832702,5.1,PI 550473,48.0,True,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B73,True
SAMN28041290,2,180877365000,ILLUMINA,WGS,PRJNA834127,78.6,,,False,,,False
SAMN28041291,1,46981494000,ILLUMINA,WGS,PRJNA834127,20.4,,,False,,,False
SAMN28041292,1,46209317400,ILLUMINA,WGS,PRJNA834127,20.1,,,False,,,False
SAMN29018392,1,73270804516,ILLUMINA,WGS,PRJNA848842,31.9,,,False,,,False
SAMN29815574,1,77135639490,ILLUMINA,WGS,PRJNA860024,33.5,,,False,,,False
SAMN29815575,1,79528251381,ILLUMINA,WGS,PRJNA860024,34.6,,,False,,,False
